parameter_id,value,unit,citation,required_by,description
transport.road_loaded_fuel_l_100km,1,L/100 km,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Loaded road-vehicle fuel consumption
transport.sea_effective_capacity_t,10,t cargo,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Effective vessel cargo capacity
transport.sea_speed_kn,10,kn,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Vessel speed in nautical miles per hour
transport.sea_load_factor,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Main-engine load factor
transport.sea_engine_power_kw,1,kW,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Main-engine rated power
transport.sea_load_power_correction_factor,1,factor,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Externally supplied vessel load-power correction
transport.hfo_specific_fuel_g_kwh,1,g/kWh,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Heavy-fuel-oil specific consumption
transport.hfo_co2_kg_t,1,kg CO2/t HFO,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,HFO carbon-dioxide factor
transport.hfo_ch4_kg_t,1,kg CH4/t HFO,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,HFO methane factor
transport.hfo_n2o_kg_t,1,kg N2O/t HFO,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,HFO nitrous-oxide factor
transport.hfo_nox_kg_t,1,kg NOx/t HFO,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,HFO nitrogen-oxides factor
transport.hfo_co_kg_t,1,kg CO/t HFO,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,HFO carbon-monoxide factor
transport.hfo_sox_kg_t,1,kg SOx/t HFO,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,HFO sulfur-oxides factor used in acidification characterization
characterization.gwp_ch4_fossil_100yr,1,kg CO2e/kg CH4,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Fossil methane 100-year global warming potential
manure.volatile_solids_kg_per_1000kg_bw_day,1,kg VS/(1000 kg BW day),SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,manure,Volatile-solids excretion factor
manure.nitrogen_retention_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,manure,Animal nitrogen-retention fraction
manure.feces_dry_matter_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,manure,Manure faecal dry-matter fraction
manure.feces_phosphorus_dm_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,manure,Phosphorus fraction of faecal dry matter
manure.total_carbon_vs_ratio,1,kg C/kg VS,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,manure,Total-carbon to volatile-solids ratio
manure.heat_generation_ghg_factor,1,kg CO2e/MJ,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,manure,Displaced heat-generation greenhouse-gas factor
overall.fpcm_base_factor,1,kg FPCM/kg milk,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Base term in the FPCM equation
overall.fpcm_fat_factor,1,kg FPCM/kg milk per fat fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Milk-fat term in the FPCM equation
overall.fpcm_protein_factor,1,kg FPCM/kg milk per protein fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Milk-protein term in the FPCM equation
characterization.ep_n_factor,1,g PO4e/g N,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Eutrophication factor for nitrogen
characterization.ep_p_factor,1,g PO4e/g P,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Eutrophication factor for phosphorus
characterization.ap_n_factor,1,g SO2e/g N,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Acidification factor for nitrogen
characterization.ap_so2_factor,1,g SO2e/g SO2,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,overall,Acidification factor for sulfur dioxide equivalent mass
field.application.synthetic_method.nh3_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic field-application NH3 fraction.
field.application.synthetic_method.n2o_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic field-application N2O fraction.
manure.housing.synthetic_method.ammonia_volatilization_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing ammonia_volatilization fraction.
manure.housing.synthetic_method.nitrous_oxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing nitrous_oxide_emission fraction.
manure.housing.synthetic_method.nitrogen_oxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing nitrogen_oxide_emission fraction.
manure.housing.synthetic_method.nitrogen_leaching_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing nitrogen_leaching fraction.
manure.housing.synthetic_method.nitrogen_runoff_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing nitrogen_runoff fraction.
manure.housing.synthetic_method.methane_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing methane_emission fraction.
manure.housing.synthetic_method.carbon_dioxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing carbon_dioxide_emission fraction.
manure.housing.synthetic_method.phosphorus_leaching_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing phosphorus_leaching fraction.
manure.housing.synthetic_method.phosphorus_runoff_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic housing phosphorus_runoff fraction.
manure.storage_treatment.synthetic_method.ammonia_volatilization_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment ammonia_volatilization fraction.
manure.storage_treatment.synthetic_method.nitrous_oxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment nitrous_oxide_emission fraction.
manure.storage_treatment.synthetic_method.nitrogen_oxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment nitrogen_oxide_emission fraction.
manure.storage_treatment.synthetic_method.nitrogen_leaching_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment nitrogen_leaching fraction.
manure.storage_treatment.synthetic_method.nitrogen_runoff_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment nitrogen_runoff fraction.
manure.storage_treatment.synthetic_method.methane_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment methane_emission fraction.
manure.storage_treatment.synthetic_method.carbon_dioxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment carbon_dioxide_emission fraction.
manure.storage_treatment.synthetic_method.phosphorus_leaching_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment phosphorus_leaching fraction.
manure.storage_treatment.synthetic_method.phosphorus_runoff_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic storage_treatment phosphorus_runoff fraction.
manure.land_application.synthetic_method.ammonia_volatilization_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application ammonia_volatilization fraction.
manure.land_application.synthetic_method.nitrous_oxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application nitrous_oxide_emission fraction.
manure.land_application.synthetic_method.nitrogen_oxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application nitrogen_oxide_emission fraction.
manure.land_application.synthetic_method.nitrogen_leaching_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application nitrogen_leaching fraction.
manure.land_application.synthetic_method.nitrogen_runoff_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application nitrogen_runoff fraction.
manure.land_application.synthetic_method.methane_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application methane_emission fraction.
manure.land_application.synthetic_method.carbon_dioxide_emission_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application carbon_dioxide_emission fraction.
manure.land_application.synthetic_method.phosphorus_leaching_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application phosphorus_leaching fraction.
manure.land_application.synthetic_method.phosphorus_runoff_fraction,0.01,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,synthetic example,Synthetic land_application phosphorus_runoff fraction.
