record_type,record_id,parent_record_id,field_name,value,unit,required_when,null_rule,description
feed_production,<feed_id>,,diesel_use_kg_ha,,kg/ha,optional activity,blank becomes 0,Cultivation diesel use per hectare.
feed_production,<feed_id>,,electricity_use_kwh_ha,,kWh/ha,optional activity,blank becomes 0,Cultivation electricity use per hectare.
agricultural_input,<input_id>,<feed_id>,rate_kg_ha,,kg/ha,when agricultural_input record is used,all-blank exemplar is ignored,Agricultural input application rate.
agricultural_input,<input_id>,<feed_id>,ghg_factor_parameter_id,,parameter id,when agricultural_input record is used,blank rejected,Upstream GHG factor parameter ID.
agricultural_input,<input_id>,<feed_id>,n2o_factor_parameter_id,,parameter id,when agricultural_input record is used,blank rejected,Upstream N2O factor parameter ID.
agricultural_input,<input_id>,<feed_id>,nh3_factor_parameter_id,,parameter id,when agricultural_input record is used,blank rejected,Upstream NH3 factor parameter ID.
agricultural_input,<input_id>,<feed_id>,phosphorus_factor_parameter_id,,parameter id,when agricultural_input record is used,blank rejected,Upstream phosphorus factor parameter ID.
feed_field,<feed_id>,,fertilizer_application_method_id,,method id,each feed_field record,blank rejected,Public fertilizer-application method ID.
feed_field,<feed_id>,,allocation_fraction,,fraction,optional,blank becomes 1,Fraction of field impacts allocated to the feed product.
feed_field,<feed_id>,,seed_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual seed nitrogen input.
feed_field,<feed_id>,,biological_fixation_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual biological nitrogen fixation.
feed_field,<feed_id>,,atmospheric_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual atmospheric nitrogen deposition.
feed_field,<feed_id>,,mineral_fertilizer_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual mineral-fertilizer nitrogen input.
feed_field,<feed_id>,,manure_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual manure nitrogen input.
feed_field,<feed_id>,,irrigation_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual irrigation nitrogen input.
feed_field,<feed_id>,,straw_return_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual returned-straw nitrogen input.
feed_field,<feed_id>,,seed_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual seed phosphorus input.
feed_field,<feed_id>,,atmospheric_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual atmospheric phosphorus deposition.
feed_field,<feed_id>,,mineral_fertilizer_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual mineral-fertilizer phosphorus input.
feed_field,<feed_id>,,manure_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual manure phosphorus input.
feed_field,<feed_id>,,irrigation_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual irrigation phosphorus input.
feed_field,<feed_id>,,straw_return_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual returned-straw phosphorus input.
feed_field,<feed_id>,,main_product_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual nitrogen removed in the main product.
feed_field,<feed_id>,,straw_n_kg_year,,kg N/year,optional activity,blank becomes 0,Annual nitrogen removed in straw.
feed_field,<feed_id>,,main_product_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual phosphorus removed in the main product.
feed_field,<feed_id>,,straw_p_kg_year,,kg P/year,optional activity,blank becomes 0,Annual phosphorus removed in straw.
feed_field,<feed_id>,,urea_equivalent_kg_year,,kg/year,optional activity,blank becomes 0,Annual urea-equivalent amount used for soil CO2.
feed_field,<feed_id>,,diesel_kg_year,,kg/year,optional activity,blank becomes 0,Annual field diesel use.
feed_field,<feed_id>,,electricity_kwh_year,,kWh/year,optional activity,blank becomes 0,Annual field electricity use.
feed_field,<feed_id>,,electricity_ghg_parameter_id,,parameter id,when electricity is greater than 0,blank uses energy.electricity_ghg_factor,Parameter ID for field electricity GHG.
transport_source,<source_id>,,feed_id,,id,each transport_source record,blank rejected,Feed ID linked to a feed_production record.
transport_source,<source_id>,,feed_mass_t_year,,t/year,each transport_source record,blank rejected,Annual feed mass transported from this source.
transport_source,<source_id>,,road_distance_km,,km one way,each transport_source record,blank rejected,Loaded one-way road distance.
transport_source,<source_id>,,sea_distance_nmi,,nautical mile one way,when a sea leg is used,all sea fields blank means no sea leg,One-way sea distance.
transport_source,<source_id>,,sea_cargo_mass_t_year,,t/year,when a sea leg is used,all sea fields blank means no sea leg,Annual cargo mass used to determine voyages.
transport_source,<source_id>,,sea_emission_allocation_fraction,,fraction,optional when a sea leg is used,blank becomes 1 for a sea leg,Fraction of sea emissions allocated to this feed source.
